title,platform,language,released,popularity,rating,total_rating_user
VA-11 HALL-A,"Android,Linux,Mac OS,PlayStation 4,PlayStation Vita,Nintendo Switch,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2014-08-18,17.56,7.94,2090
Princess Waltz,Windows,"Chinese,Russian,Japanese,English",2006-04-28,17.43,7.02,2054
D.C. ~Da Capo~,"Android,Blu-ray Player,DVD Player,Apple iProduct,PlayStation 2,PlayStation Portable,Windows","Chinese,Japanese,English",2002-06-28,17.35,6.87,2135
Kimi to Kanojo to Kanojo no Koi.,"Android,Windows","Chinese,Russian,Korean,Japanese,English",2013-06-28,17.29,7.95,1781
Sekien no Inganock -What a Beautiful People-,"VNDS,Windows","Chinese,Japanese,English",2007-11-22,17.25,7.81,1537
Baldr Sky Dive2 “Recordare”,Windows,"Chinese,Japanese,English",2009-11-27,17.03,8.71,1342
Tomoyo After ~It's a Wonderful Life~,"Android,Linux,Mac OS,Other,PlayStation 2,PlayStation 3,PlayStation Portable,Nintendo Switch,Windows,Xbox 360","Chinese,Vietnamese,Russian,Korean,Japanese,Spanish,English",2005-11-25,16.73,7.49,1949
Maji de Watashi ni Koishinasai! A-1,Windows,"Japanese,English",2013-01-18,16.61,7.95,1586
Cartagra ~Tsuki Kurui no Yamai~,"DVD Player,Linux,Mac OS,PlayStation 2,Windows","Chinese,Russian,Japanese,English",2005-04-28,16.54,7.34,1664
Kono Yo no Hate de Koi o Utau Shoujo YU-NO,"PC-98,PlayStation 4,PlayStation Vita,Sega Saturn,Nintendo Switch,Windows","Chinese,Korean,Japanese,English",1996-12-26,16.49,8.17,1411
D.C. II ~Da Capo II~,"Android,Blu-ray Player,DVD Player,Apple iProduct,PlayStation 2,PlayStation Portable,Windows","Chinese,Korean,Japanese,English",2006-05-26,16.46,7.56,1612
Wagamama High Spec,"Android,PlayStation Vita,Nintendo Switch,Windows","Chinese,Japanese,English",2016-02-04,16.4,7.44,1749
Root Double -Before Crime * After Days-,"Android,Apple iProduct,PlayStation 3,PlayStation Vita,Nintendo Switch,Windows,Xbox 360","Japanese,English",2012-06-14,16.16,7.89,1525
Eiyuu*Senki,"PlayStation 3,PlayStation Vita,Windows","Chinese,Japanese,English",2012-03-30,16.09,7.5,1556
Eroge! ~H mo Game mo Kaihatsu Zanmai~,"DVD Player,Windows","Japanese,English",2010-06-25,15.96,6.94,1877
Zanmataisei Demonbane,"Other,PlayStation 2,PlayStation Portable,Windows","Chinese,Japanese,English",2003-04-25,15.75,7.37,1505
Senren * Banka,Windows,"Chinese,Korean,Japanese,English",2016-07-29,15.6,7.78,1573
Narcissu Side 2nd,"Android,Linux,Mac OS,Nintendo DS,PlayStation Portable,VNDS,Windows","Chinese,Vietnamese,Portuguese (Brazil),Polish,Japanese,French,Spanish,English,German",2007-05-15,15.58,7.5,1672
Neko Para Vol.3 Neko-tachi no Aromatize,"PlayStation 4,Nintendo Switch,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Spanish,English",2017-05-25,15.27,7.3,1790
Koi ga Saku Koro Sakura Doki,"PlayStation 4,Windows","Chinese,Japanese,Spanish,English",2014-06-27,15.19,7.43,1604
Maji de Watashi ni Koishinasai! A-2,Windows,"Japanese,English",2013-07-12,15.13,7.91,1434
Hoshi Ori Yume Mirai,"PlayStation 4,PlayStation Vita,Windows","Japanese,Spanish,English",2014-07-25,14.9,8.14,1386
Kana ~Imouto~,"DVD Player,Linux,Mac OS,PlayStation Portable,Windows","Chinese,Vietnamese,Russian,Japanese,English",1999-06-25,14.88,7.41,1587
Neko Para Vol.0 Minazuki Neko-tachi no Nichijou!,"Android,Apple iProduct,PlayStation 4,Nintendo Switch,Website,Windows","Chinese,Vietnamese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2015-08-16,14.87,6.38,2624
Crescendo ~Eien da to Omotte Ita Ano Koro~,Windows,"Russian,Japanese,English",2001-09-28,14.79,7.34,1494
True Remembrance,"Android,Linux,Mac OS,Nintendo 3DS,VNDS,Windows","Chinese,Russian,Korean,Japanese,French,English",2003-05-11,14.79,7.61,1583
Making＊Lovers,"PlayStation 4,PlayStation Vita,Windows","Chinese,Japanese,English",2017-11-24,14.63,7.98,1404
Koisuru Natsu no Last Resort,Windows,"Russian,Japanese,English",2014-03-28,14.62,6.9,1759
Bunny Black,Windows,"Korean,Japanese,English",2010-07-30,14.55,7.5,1479
Tsujidou-san no Jun'ai Road,Windows,"Japanese,Hungarian,English",2012-09-28,14.41,7.71,1325
Daitoshokan no Hitsujikai,"PlayStation 4,PlayStation Vita,Nintendo Switch,Windows","Chinese,Japanese,Spanish,English",2013-01-25,14.34,7.93,1206
Aiyoku no Eustia,"Android,PlayStation Vita,Windows","Chinese,Russian,Japanese,Hungarian,English",2011-04-28,14.24,8.39,1133
Kazoku Keikaku,"DVD Player,PlayStation 2,PlayStation 3,PlayStation Portable,PlayStation Vita,Windows","Chinese,Korean,Japanese,English",2001-11-02,14.21,7.29,1336
Bible Black -La Noche de Walpurgis-,"Android,DVD Player,PlayStation Portable,Windows","Chinese,Japanese,Spanish,English",2000-07-14,14.01,6.96,1611
Imouto Paradise! ~Onii-chan to Go nin no Imouto no Ecchi Shimakuri na Mainichi~,"Android,DVD Player,Windows","Japanese,English",2011-01-28,13.85,6.57,1696
Air,"Android,Dreamcast,Game Boy Advance,Apple iProduct,Other (mobile),PlayStation 2,PlayStation Portable,PlayStation Vita,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2000-09-08,13.72,7.63,1392
Summer Pockets,"Android,Apple iProduct,Nintendo Switch,Windows","Chinese,Vietnamese,Korean,Japanese,English",2018-06-29,13.51,8.38,1352
Dengeki Stryker,"Website,Windows","Chinese,Japanese,Spanish,English",2011-06-24,13.43,7.28,1319
Yukizakura,Windows,"Japanese,English",2003-11-28,13.32,6.97,1651
Eien no Aselia -The Spirit of Eternity Sword-,"PlayStation 2,PlayStation Portable,Windows","Japanese,English",2003-11-28,13.31,7.58,1256
Tears to Tiara,"PlayStation 3,PlayStation Portable,Windows","Chinese,Korean,Japanese,English",2005-04-28,13.22,6.98,1467
Gyakuten Kenji,"Android,Apple iProduct,Nintendo DS","Chinese,Japanese,French,Spanish,English,German",2009-05-28,13.13,7.37,1691
Dra†KoI,Windows,"Chinese,Japanese,Spanish,English",2006-02-03,12.8,6.73,1337
Bishoujo Mangekyou -Norowareshi Densetsu no Shoujo-,"Android,Linux,Mac OS,Website,Windows","Chinese,Vietnamese,Russian,Japanese,Finnish,Spanish,English",2011-12-29,12.7,7.19,1240
Daibanchou -Big Bang Age-,Windows,"Chinese,Japanese,English",2003-12-19,12.69,7.45,1234
Phenomeno - Mitsurugi Yoishi wa Kowagaranai,"VNDS,Windows","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,English,German",2012-06-16,12.67,7.33,1422
Hatsukoi 1/1,Windows,"Chinese,Japanese,English",2012-06-29,12.36,7.27,1361
Fate/Extra,"PlayStation Portable,PlayStation Vita","Japanese,English",2010-07-22,12.26,7.05,1552
Shinigami no Kiss wa Wakare no Aji,Windows,"Chinese,Japanese,English",2009-04-24,12.2,6.89,1386
Hanachirasu,"Other,PlayStation Portable,Windows","Chinese,Japanese,English",2005-09-30,12.11,7.07,1175
White Album 2 ~Introductory Chapter~,"PlayStation 3,PlayStation Portable,PlayStation Vita,Windows","Chinese,Korean,Japanese,English",2010-03-26,11.96,8.01,1130
Sono Hanabira ni Kuchizuke o,"Linux,Mac OS,Nintendo DS,VNDS,Windows","Chinese,Russian,Polish,Japanese,French,Spanish,English",2006-09-15,11.92,6.55,1746
Hapymaher,Windows,"Chinese,Korean,Japanese,English",2013-02-28,11.91,7.38,1079
Nanairo Reincarnation,"Android,PlayStation Vita,Windows","Korean,Japanese,English",2014-09-26,11.82,7.71,959
Utawarerumono: Itsuwari no Kamen,"Android,Apple iProduct,PlayStation 3,PlayStation 4,PlayStation Vita,Windows","Chinese,Korean,Japanese,Spanish,English",2015-09-24,11.82,8.22,1092
Beskonechnoe leto,"Android,Apple iProduct,Linux,Mac OS,Website,Windows","Chinese,Ukrainian,Russian,Italian,Spanish,English",2013-11-05,11.75,7.0,2202
Kikouyoku Senki Tenkuu no Yumina,Windows,"Chinese,Japanese,English",2009-01-23,11.75,7.36,1097
White Album 2 ~Closing Chapter~,"PlayStation 3,PlayStation Vita,Windows","Chinese,Korean,Japanese,English",2011-12-22,11.73,8.78,977
Gyakuten Saiban 5,"Android,Apple iProduct,Nintendo 3DS","Chinese,Korean,Japanese,English",2013-07-25,11.69,7.34,1517
Ikinari Anata ni Koishiteiru,Windows,"Chinese,Japanese,Spanish,English",2011-07-29,11.59,6.72,1359
Dorei to no Seikatsu -Teaching Feeling-,"Android,Windows","Chinese,Vietnamese,Russian,Portuguese (Brazil),Japanese,Spanish,English",2015-10-27,11.5,7.26,1524
A Profile,Windows,"Vietnamese,Japanese,Spanish,English,German",2005-01-21,11.49,6.72,1295
Utawarerumono: Futari no Hakuoro,"Android,Apple iProduct,PlayStation 3,PlayStation 4,PlayStation Vita,Windows","Chinese,Korean,Japanese,English",2016-09-21,11.44,8.77,968
Koiken Otome,Windows,"Chinese,Japanese,English",2012-12-21,11.4,6.76,1385
Kyonyuu Fantasy,"Android,Blu-ray Player,DVD Player,Windows","Japanese,English",2009-10-23,11.32,7.51,1096
Princess Evangile W Happiness,"Android,Apple iProduct,Windows","Korean,Japanese,English",2012-06-29,11.22,7.48,1128
Ayakashibito,"PlayStation 2,PlayStation Portable,Windows","Chinese,Korean,Japanese,English",2005-06-24,11.18,7.59,942
Edelweiss Eiden Fantasia,"Website,Windows","Japanese,English",2008-08-29,11.15,6.91,1227
Sagara-sanchi no Etsuraku Life ♪,Windows,"Japanese,English",2003-08-28,11.1,6.71,1328
Melty Blood,"Other,PlayStation 2,Windows","Russian,Portuguese (Brazil),Japanese,English",2002-12-30,11.04,7.34,1272
Island,"PlayStation 4,PlayStation Vita,Windows","Chinese,Japanese,English",2016-04-28,11.0,7.77,1032
Himawari,"Android,Apple iProduct,PlayStation 2,PlayStation Portable,PlayStation Vita,Windows","Chinese,Russian,Japanese,Spanish,English",2007-12-31,10.73,7.62,930
Shikkoku no Sharnoth -What a Beautiful Tomorrow-,"VNDS,Windows","Chinese,Japanese,English",2008-11-21,10.66,7.51,938
Rance VI - Zeth Houkai -,"Website,Windows","Chinese,Korean,Japanese,English",2004-08-27,10.52,7.81,888
Rei-Jin-G-Lu-P,"Android,Apple iProduct,PlayStation 4,PlayStation Vita,Nintendo Switch,Windows","Chinese,Japanese,English",2015-12-03,10.47,8.11,1014
Suki to Suki to de Sankaku Ren'ai,"PlayStation 4,PlayStation Vita,Windows","Chinese,Japanese,Spanish,English",2016-11-25,10.27,7.12,1093
Amnesia,"Android,Apple iProduct,PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Vietnamese,Russian,Japanese,English",2011-08-18,10.09,7.26,1300
11eyes -Tsumi to Batsu to Aganai no Shoujo-,"Apple iProduct,PlayStation Portable,Windows,Xbox 360","Chinese,Japanese,English",2008-04-25,9.95,7.29,945
AI: The Somnium Files,"PlayStation 4,Nintendo Switch,Windows","Chinese,Russian,Japanese,English",2019-09-17,9.94,7.87,1132
Okujou no Yurirei-san,"Android,Linux,Mac OS,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2012-03-30,9.9,7.9,978
Yosuga no Sora,"Android,Windows","Chinese,Vietnamese,Portuguese (Brazil),Korean,Japanese,French,Spanish,English,German",2008-12-05,9.88,7.3,1124
